name,velocity
CEMETERY CENTRAL STREET 4,50
CEMETERY CENTRAL STREET 8,50
CEMETERY SOUTH STREET 10,50
CEDARWOOD GROVE,40
CEMETERY CENTRAL STREET 25,50
CEMETERY CENTRAL STREET 6,50
CEMETERY NORTH STREET 1,50
CEMETERY SOUTH STREET 16,50
CEMETERY SOUTH STREET 25,50
CENTRAL BOULEVARD,50
CENTRAL EXCHANGE GREEN,50
CENTRAL EXPRESSWAY - that part of Central Expressway between lamp post No. 16 F (Yio Chu Kang Flyover) and lamp post No. 503 F (Kampong Java Flyover), in the direction towards Ayer Rajah Expressway.,90
CENTRAL EXPRESSWAY - that part of Central Expressway tunnel between lamp post No. 551 (Chin Swee Tunnel) and lamp post No. 506 (Kampong Java Flyover), in the direction towards Seletar Expressway.,80
CENTRAL AXIS,50
CENTRAL CIRCUS,50
CENTRAL EXPRESSWAY - that part of Central Expressway between lamp post No. 506 (Kampong Java Flyover), and lamp post No. 17 F (Yio Chu Kang Flyover), in the direction towards Seletar Expressway.,90
CENTRAL EXPRESSWAY - that part of the slip road from Exit 8B of Central Expressway, in the direction towards Pan Island Expressway, between lamp post No. 263F and lamp post No. 273S36.,70
CENTRAL EXPRESSWAY - that part of Central Expressway tunnel between lamp post No. 503 F (Kampong Java Flyover), and lamp post No. 551 (Chin Swee Tunnel), in the direction towards Ayer Rajah Expressway.,80
CEYLON LANE,50
CHAI CHEE AVENUE,50
CHAI CHEE LANE,50
CHAI CHEE STREET,40
CHANCERY HILL ROAD,50
CEYLON ROAD,50
CHAI CHEE DRIVE,50
CHAI CHEE ROAD,50
CHAMPIONS WAY,50
CHANCERY HILL WALK,50
CHANCERY LANE,50
CHANG CHARN ROAD,50
CHANGI BUSINESS PARK AVENUE 3,50
CHANGI BUSINESS PARK CENTRAL 2,50
CHANGI BUSINESS PARK VISTA,60
CHANDER ROAD,50
CHANGI BUSINESS PARK AVENUE 1,50
CHANGI BUSINESS PARK CENTRAL 1,50
CHANGI BUSINESS PARK CRESCENT,50
CHANGI COAST ROAD,70
CHANGI COAST WALK,50
CHANGI EAST DRIVE,50
CHANGI NORTH CRESCENT,50
CHANGI NORTH STREET 1,50
CHANGI NORTH WAY,50
CHANGI EAST CLOSE,50
CHANGI FERRY ROAD,50
CHANGI NORTH RISE,50
CHANGI NORTH STREET 2,50
CHANGI ROAD - that part of Changi Road between New Upper Changi Road and Jalan Eunos.,60
CHANGI SOUTH AVENUE 1,60
CHANGI SOUTH AVENUE 3,60
CHANGI SOUTH LANE,50
CHANGI SOUTH STREET 2,50
CHANGI VILLAGE ROAD,50
CHANGI SOUTH AVENUE 2 - that part of Changi South Avenue 2 between Changi South Avenue 1 and Changi South Avenue 3.,60
CHANGI SOUTH AVENUE 4,50
CHANGI SOUTH STREET 1,50
CHANGI SOUTH STREET 3,50
CHAPEL CLOSE,50
CHAPEL ROAD,50
CHARLTON PARK HOUSING ESTATE,40
CHARTWELL DRIVE,40
CHATSWORTH PARK,50
CHAY YAN STREET,50
CHARLTON LANE,40
CHARLTON ROAD,40
CHATSWORTH AVENUE,50
CHATSWORTH ROAD,50
CHEANG HONG LIM PLACE,50
CHEANG HONG LIM STREET,50
CHEE HOON AVENUE,40
CHEMPAKA KUNING LINK,50
CHENG SOON GARDEN,50
CHENG YAN PLACE,50
CHEANG WAN SENG PLACE,50
CHEMPAKA AVENUE,40
CHENG SOON CRESCENT,50
CHENG SOON LANE,50
CHEONG CHIN NAM ROAD,40
CHEOW KENG ROAD,50
CHERRY AVENUE,50
CHESTNUT CLOSE,50
CHESTNUT DRIVE,40
CHESTNUT LANE,50
CHEPSTOW CLOSE,40
CHESTNUT AVENUE,50
CHESTNUT CRESCENT,50
CHESTNUT GARDENS,50
CHESTNUT TERRACE,50
CHEVIOT HILL,40
CHIAP GUAN AVENUE,40
CHILTERN DRIVE,40
CHIN BEE CRESCENT,50
CHIN BEE ROAD,50
CHIA PING ROAD,50
CHIKU ROAD,50
CHIN BEE AVENUE,50
CHIN BEE DRIVE,50
CHIN CHENG AVENUE,50
CHIN CHEW STREET,50
CHIN SWEE ROAD,60
CHINA STREET,50
CHINESE CEMETERY PATH 10,50
CHINESE CEMETERY PATH 12,50
CHIN HONG AVENUE,50
CHIN TERRACE,50
CHINESE CEMETERY PATH 1,50
CHINESE CEMETERY PATH 11,50
CHINESE CEMETERY PATH 13,50
CHINESE CEMETERY PATH 14,50
CHINESE CEMETERY PATH 16,50
CHINESE CEMETERY PATH 18,50
CHINESE CEMETERY PATH 2,50
CHINESE CEMETERY PATH 21,50
CHINESE CEMETERY PATH 15,50
CHINESE CEMETERY PATH 17,50
CHINESE CEMETERY PATH 19,50
CHINESE CEMETERY PATH 20,50
CHINESE CEMETERY PATH 22,50
CHINESE CEMETERY PATH 26,50
CHINESE CEMETERY PATH 3,50
CHINESE CEMETERY PATH 32,50
CHINESE CEMETERY PATH 36,50
CHINESE CEMETERY PATH 4,50
CHINESE CEMETERY PATH 28,50
CHINESE CEMETERY PATH 30,50
CHINESE CEMETERY PATH 34,50
CHINESE CEMETERY PATH 38,50
CHINESE CEMETERY PATH 5,50
CHINESE CEMETERY PATH 6,50
CHINESE CEMETERY PATH 8,50
CHINESE GARDEN ROAD,50
CHISELHURST GROVE,40
CHOA CHU KANG AVENUE 1,50
CHINESE CEMETERY PATH 7,50
CHINESE CEMETERY PATH 9,50
CHIP BEE HOUSING ESTATE,40
CHITTY ROAD,50
CHOA CHU KANG AVENUE 2,50
CHOA CHU KANG AVENUE 3 - that part of Choa Chu Kang Avenue 3 between Choa Chu Kang Drive and Brickland Road.,60
CHOA CHU KANG AVENUE 5,50
CHOA CHU KANG CRESCENT,50
CHOA CHU KANG LINK,50
CHOA CHU KANG NORTH 5,50
CHOA CHU KANG AVENUE 4,50
CHOA CHU KANG CENTRAL,50
CHOA CHU KANG DRIVE - that part of Choa Chu Kang Drive between Choa Chu Kang Avenue 1 and Choa Chu Kang Crescent.,60
CHOA CHU KANG LOOP,50
CHOA CHU KANG NORTH 6,50
CHOA CHU KANG NORTH 7,50
CHOA CHU KANG ROAD - TRACK 14,50
CHOA CHU KANG STREET 51,50
CHOA CHU KANG STREET 53,50
CHOA CHU KANG STREET 62,50
CHOA CHU KANG ROAD,60
CHOA CHU KANG ROAD - TRACK 33,50
CHOA CHU KANG STREET 52,50
CHOA CHU KANG STREET 54,50
CHOA CHU KANG STREET 64,50
CHOA CHU KANG TERRACE,50
CHOA CHU KANG WAY,60
CHOON GUAN STREET,50
CHRISTIAN CEMETERY PATH 11,50
CHRISTIAN CEMETERY PATH 15,50
CHOA CHU KANG WALK,50
CHONG KUO ROAD,50
CHRISTIAN CEMETERY PATH 1,50
CHRISTIAN CEMETERY PATH 13,50
CHRISTIAN CEMETERY PATH 2,50
CHRISTIAN CEMETERY PATH 3,50
CHRISTIAN CEMETERY PATH 5,50
CHRISTIAN CEMETERY PATH 7,50
CHRISTIAN CEMETERY PATH 9,50
CHU YEN STREET,40
CHRISTIAN CEMETERY PATH 4,50
CHRISTIAN CEMETERY PATH 6,50
CHRISTIAN CEMETERY PATH 8,50
CHU LIN ROAD,40
CHUAN CLOSE,50
CHUAN DRIVE,50
CHUAN HOE AVENUE,40
CHUAN PLACE,50
CHUAN VIEW,50
CHULIA STREET,50
CHUAN GARDEN,50
CHUAN LINK,50
CHUAN TERRACE,50
CHUAN WALK,50
CHUN TIN ROAD,40
CHURCH STREET,50
CHWEE CHIAN VIEW,50
CIRCUIT ROAD,40
CLACTON ROAD,50
CLARKE QUAY,50
CHWEE CHIAN ROAD,50
CIRCUIT LINK,50
CIRCULAR ROAD,50
CLARENCE LANE,40
CLARKE STREET,50
CLAYMORE DRIVE,50
CLAYMORE ROAD,50
CLEMENCEAU AVENUE NORTH,50
CLEMENTI AVENUE 2,60
CLEMENTI AVENUE 4,50
CLAYMORE HILL,50
CLEMENCEAU AVENUE,60
CLEMENTI AVENUE 1,50
CLEMENTI AVENUE 3,50
CLEMENTI AVENUE 5,50
CLEMENTI AVENUE 6,70
CLEMENTI LOOP,50
CLEMENTI ROAD - that part of Clementi Road between Bukit Timah Road and Ayer Rajah Expressway.,70
CLEMENTI STREET 11,50
CLEMENTI STREET 13,50
CLEMENTI CRESCENT,50
CLEMENTI ROAD - that part of Clementi Road between West Coast Highway and Ayer Rajah Expressway.,60
CLEMENTI SERVICE ROAD,50
CLEMENTI STREET 12,50
CLEMENTI STREET 14,50
CLEMENTI WEST STREET 1,50
CLIFTON VALE,40
CLOVER AVENUE,50
CLOVER CRESCENT,50
CLOVER WAY,50
CLEMENTI WEST STREET 2,50
CLIVE STREET,50
CLOVER CLOSE,50
CLOVER RISE,50
CLUB STREET,50
CLUNY HILL,50
CLUNY PARK ROAD,50
COCHRANE CRESCENT,50
COLDSTREAM AVENUE,40
COLLEGE GREEN,50
CLUNY PARK,50
CLUNY ROAD,50
COLCHESTER GROVE,40
COLEMAN STREET,50
COLLEGE ROAD,40
COLLYER QUAY - that part of Collyer Quay between Fullerton Road and Raffles Quay.,60
COMMONWEALTH AVENUE WEST - that part of Commonwealth Avenue West between Clementi Road and Clementi Service Road.,60
COMMONWEALTH AVENUE WEST - that part of Commonwealth Avenue West between Clementi Service Road and Boon Lay Way.,70
COMMONWEALTH CRESCENT,40
COMMONWEALTH LANE,40
COMMONWEALTH AVENUE,60
COMMONWEALTH AVENUE WEST - that part of Commonwealth Avenue West between North Buona Vista Road and Clementi Road.,70
COMMONWEALTH CLOSE,40
COMMONWEALTH DRIVE,40
COMMONWEALTH LINK,50
COMPASSVALE BOW,50
COMPASSVALE DRIVE,50
COMPASSVALE LINK,50
COMPASSVALE STREET,50
COMPUTING DRIVE,40
COMPASSVALE CRESCENT,50
COMPASSVALE LANE,50
COMPASSVALE ROAD,50
COMPASSVALE WALK,50
CONISTON GROVE,40
CONNAUGHT DRIVE,50
CONWAY GROVE,40
COOLING CLOSE,40
CORNWALL GARDENS,40
CORONATION DRIVE,40
CONWAY CIRCLE,40
COOK STREET,50
CORFE PLACE,40
CORNWALL ROAD,40
CORONATION ROAD,50
CORONATION ROAD WEST - between its junction with Holland Road and a point 1.5 metres east of its junction with Astrid Hill.,40
CORPORATION DRIVE,50
CORPORATION ROAD - that part of Corporation Road between Jurong West Avenue 2 and Jurong Port Road.,60
COSFORD ROAD,50
COTTESMORE ROAD,50
CORONATION WALK,50
CORPORATION RISE,50
CORPORATION WALK,50
COTSWOLD CLOSE,40
COUNTRYSIDE GROVE,50
COUNTRYSIDE LINK,50
COUNTRYSIDE ROAD,50
COURT ROAD,40
COVE DRIVE,50
COVE WAY,50
COUNTRYSIDE PLACE,50
COUNTRYSIDE VIEW,50
COVE AVENUE,50
COVE GROVE,50
COWDRAY AVENUE,40
COX TERRACE,50
CRANBORNE ROAD,50
CRANWELL ROAD,40
CRAWFORD STREET,60
CRICHTON CLOSE,40
CRAIG ROAD,50
CRANE ROAD,50
CRAWFORD LANE,50
CRESCENT ROAD,50
CROSS STREET,50
CROUCHER ROAD,50
CUFF ROAD,50
CUPPAGE ROAD,50
CUSCADEN WALK,50
CYPRUS ROAD,50
CROWHURST DRIVE,40
CUMMING STREET,50
CUSCADEN ROAD,50
CYPRESS AVENUE,50
D'ALMEIDA STREET,50
DAFFODIL DRIVE,40
DAHAN ROAD,50
DAIRY FARM ROAD,60
DAISY ROAD,50
DA SILVA LANE,50
DAFNE STREET,40
DAIRY FARM CRESCENT,50
DAISY AVENUE,50
DAKOTA CLOSE,40
DAKOTA CRESCENT,40
DALVEY ESTATE,50
DALVEY ROAD,50
DARAT DRIVE,50
DARAT LANE,50
DALKEITH ROAD,50
DALVEY GATE ROAD,50
DARAT AVENUE,50
DARAT GARDEN ROAD,50
DARAT RISE,50
DARAT ROAD,50
DAVIDSON ROAD,50
DE SOUZA AVENUE,50
DEAL ROAD,50
DEDAP PLACE,50
DARAT WALK,50
DAWSON ROAD,40
DE SOUZA STREET,50
DEDAP LINK,50
DEDAP ROAD,50
DEFU AVENUE 1,50
